"id_nomenclature";"id_type";"cd_nomenclature";"mnemonique";"label_default"
580;126;"1";Présence ou absence d’une végétation hygrophile;Présence ou absence d’une végétation hygrophile
581;126;"2";Présence ou absence de sols hydromorphes;Présence ou absence de sols hydromorphes
582;126;"3";Périodicité des inondations ou saturation du sol en eau;Périodicité des inondations ou saturation du sol en eau
583;126;"4";Hydrologie (balancement des eaux, crues, zones d’inondation, fluctuation de la nappe);Hydrologie (balancement des eaux, crues, zones d’inondation, fluctuation de la nappe)
584;126;"5";Répartition et agencement spatial des habitats (types de milieux);Répartition et agencement spatial des habitats (types de milieux)
585;126;"6";Occupation des terres (limite entre les espaces naturels et les milieux anthropisés);Occupation des terres (limite entre les espaces naturels et les milieux anthropisés)
586;126;"7";Fonctionnement écologique (espace nécessaire à la biologie des espèces : connexions biologiques, relations entre écosystèmes);Fonctionnement écologique (espace nécessaire à la biologie des espèces : connexions biologiques, relations entre écosystèmes)
611;130;"0";"00 - Pas d’activité marquante";"00 - Pas d’activité marquante"
612;130;"1";"01 - Agriculture";"01 - Agriculture"
613;130;"2";"02 - Sylviculture";"02 - Sylviculture"
614;130;"3";"03 - Elevage / Pastoralisme";"03 - Elevage / Pastoralisme"
615;130;"4";"04 - Pêche";"04 - Pêche"
616;130;"5";"05 - Chasse";"05 - Chasse"
617;130;"6";"06 - Navigation";"06 - Navigation"
618;130;"7";"07 - Tourisme et loisirs (camping, zone de stationnement)";"07 - Tourisme et loisirs (camping, zone de stationnement)"
619;130;"10";"10 - Urbanisme";"10 - Urbanisme"
620;130;"11";"11 - Industrie";"11 - Industrie"
621;130;"12";"12 - Infrastructures linéaires (routes, voies ferrées)";"12 - Infrastructures linéaires (routes, voies ferrées)"
622;130;"14";"14 - Aérodrome, aéroport, héliport";"14 - Aérodrome, aéroport, héliport"
623;130;"15";"15 - Port";"15 - Port"
624;130;"16";"16 - Extraction de granulats, mines";"16 - Extraction de granulats, mines"
625;130;"17";"17 - Activité hydroélectrique, barrage";"17 - Activité hydroélectrique, barrage"
626;130;"18";"18 - Activité militaire";"18 - Activité militaire"
627;130;"19";"19 - Gestion conservatoire";"19 - Gestion conservatoire"
628;130;"20";"20 - Prélèvements d’eau";"20 - Prélèvements d’eau"
629;130;"21";"21 - Autre (préciser dans l’encart réservé aux remarques)";"21 - Autre (préciser dans l’encart réservé aux remarques)"
630;131;"0";Non déterminée;Non déterminée
631;131;"1";Au niveau de la zone humide;Au niveau de la zone humide
632;131;"2";Au niveau de l’espace de fonctionnalité;Au niveau de l’espace de fonctionnalité
633;131;"3";Au niveau de la zone humide et de l’espace de fonctionnalité;Au niveau de la zone humide et de l’espace de fonctionnalité
634;132;"0";Aucun;"0 - Aucun"
635;132;"10";implantation, modification ou fonctionnement d’ infrastructures et amenagements lourds;"10 - Implantation, modification ou fonctionnement d’ infrastructures et amenagements lourds"
636;132;"11.0";habitats humain, zone urbanisée;"11.0 - Habitats humain, zone urbanisée"
637;132;"12.0";zone industrielle ou commerciale;"12.0 - Zone industrielle ou commerciale"
685;132;"78.0";rejets de déchets;"78.0 - Rejets de déchets"
638;132;"13.0";infrastructure linéaire, réseaux de communication;"13.0 - Infrastructure linéaire, réseaux de communication"
639;132;"14.0";extraction de matériaux;"14.0 - Extraction de matériaux"
640;132;"15.0";dépôt de matériaux, décharge;"15.0 - Dépôt de matériaux, décharge"
641;132;"16.0";équipement sportif et de loisirs;"16.0 - Equipement sportif et de loisirs"
642;132;"17.0";infrastructure et équipement agricoles;"17.0 - Infrastructure et équipement agricoles"
643;132;"20";pollutions et nuisances;"20 - Pollutions et nuisances"
644;132;"21.0";rejets substances polluantes dans les eaux;"21.0 - Rejets substances polluantes dans les eaux"
645;132;"22.0";rejets substances polluantes dans les sols;"22.0 - Rejets substances polluantes dans les sols"
646;132;"23.0";rejets substances polluantes dans l’atmosphère;"23.0 - Rejets substances polluantes dans l’atmosphère"
647;132;"24.0";nuisances liées à la surfréquentation, au piétinement;"24.0 - Nuisances liées à la surfréquentation, au piétinement"
648;132;"30";pratiques liées à la gestion des eaux;"30 - Pratiques liées à la gestion des eaux"
649;132;"31.0";comblement, assèchement, drainage, poldérisation des zones humides;"31.0 - Comblement, assèchement, drainage, poldérisation des zones humides"
650;132;"32.0";mise en eau, submersion, création de plan d’eau;"32.0 - Mise en eau, submersion, création de plan d’eau"
651;132;"33.0";modification des fonds, des courants;"33.0 - Modification des fonds, des courants"
652;132;"34.0";création ou modification des berges et des digues, îles et îlots artificiels, remblais et déblais, fossés;"34.0 - Création ou modification des berges et des digues, îles et îlots artificiels, remblais et déblais, fossés"
653;132;"35.0";entretien rivières, canaux, fossés, plan d’eau;"35.0 - Entretien rivières, canaux, fossés, plan d’eau"
654;132;"36.0";modification du fonctionnement hydraulique;"36.0 - Modification du fonctionnement hydraulique"
655;132;"37.0";action sur la végétation immergée, flottante ou amphibie, y compris faucardage et démottage;"37.0 - Action sur la végétation immergée, flottante ou amphibie, y compris faucardage et démottage"
656;132;"38.0";pêche professionnelle;"38.0 - Pêche professionnelle"
657;132;"40";pratiques agricoles et pastorales;"40 - Pratiques agricoles et pastorales"
658;132;"41.0";mise en culture, travaux du sol;"41.0 - Mise en culture, travaux du sol"
659;132;"42.0";débroussaillage, suppression haies et bosquets, remembrement et travaux connexes;"42.0 - Débroussaillage, suppression haies et bosquets, remembrement et travaux connexes"
660;132;"43.0";jachère, abandon provisoire;"43.0 - Jachère, abandon provisoire"
661;132;"44.0";traitement de fertilisation et pesticides;"44.0 - Traitement de fertilisation et pesticides"
662;132;"45.0";pâturage;"45.0 - Pâturage"
663;132;"46.0";suppression ou entretien de la végétation fauchage et fenaison;"46.0 - Suppression ou entretien de la végétation fauchage et fenaison"
664;132;"47.4";abandon de systèmes culturaux et pastoraux, apparition de friches;"47.4 - Abandon de systèmes culturaux et pastoraux, apparition de friches"
665;132;"48.0";plantation de haies et de bosquets;"48.0 - Plantation de haies et de bosquets"
666;132;"50";pratiques et travaux forestiers;"50 - Pratiques et travaux forestiers"
667;132;"51.0";coupes, abattages, arrachages et déboisements;"51.0 - Coupes, abattages, arrachages et déboisements"
668;132;"52.0";taille, élagage;"52.0 - Taille, élagage"
669;132;"53.0";plantation, semis et travaux connexes;"53.0 - Plantation, semis et travaux connexes"
670;132;"54.0";entretien liés à la sylviculture, nettoyage, épandage;"54.0 - Entretien liés à la sylviculture, nettoyage, épandage"
671;132;"55.0";autre aménagement forestier, accueil du public, création de pistes;"55.0 - Autre aménagement forestier, accueil du public, création de pistes"
672;132;"60";pratiques liees aux loisirs;"60 - Pratiques liees aux loisirs"
673;132;"61.0";sport et loisir de plein air;"61.0 - Sport et loisir de plein air"
674;132;"62.0";chasse;"62.0 - Chasse"
675;132;"63.0"; pêche;"63.0 - Pêche"
676;132;"64.0";cueillette et ramassage;"64.0 - Cueillette et ramassage"
677;132;"70";pratiques de gestion ou d’exploitation des espèces et habitats;"70 - Pratiques de gestion ou d’exploitation des espèces et habitats"
678;132;"71.0";prélèvement sur la faune ou la flore;"71.0 - Prélèvement sur la faune ou la flore"
679;132;"72.0";introduction, gestion ou limitation des populations;"72.0 - Introduction, gestion ou limitation des populations"
680;132;"73.0";gestion des habitats pour l’accueil et l’information du public;"73.0 - Gestion des habitats pour l’accueil et l’information du public"
681;132;"74.0";autre (préciser dans l’encart réservé aux remarques);"74.0 - Autre (préciser dans l’encart réservé aux remarques)"
682;132;"75.0";aménagements liés à la pisciculture ou à la conchyliculture;"75.0 - Aménagements liés à la pisciculture ou à la conchyliculture"
683;132;"76.0";fertilisation, amendements;"76.0 - Fertilisation, amendements"
684;132;"77.0";alimentation artificielle;"77.0 - Alimentation artificielle"
